pos_pair
"('1077546505.jpg#1r1c', A child is falling off a slide onto colored balloons floating on a pool of water., The child is in a dark room.)"
"('1077546505.jpg#1r1e', A child is falling off a slide onto colored balloons floating on a pool of water., The balloons are for the child.)"
"('1078621572.jpg#2r2c', A rickety old truck, stuffed to overflowing with men, is traveling down a country road on the left hand side., THe truck is in park.)"
"('107969134.jpg#1r2e', A baby boy in a blue and white striped shirt is sitting on his mother's shoulders., A baby sits on a lady's shoulders.)"
"('107969134.jpg#1r4c', A baby boy in a blue and white striped shirt is sitting on his mother's shoulders., A little girl sits on the ground.)"
"('107969134.jpg#1r5c', A baby boy in a blue and white striped shirt is sitting on his mother's shoulders., The baby is without his mother.)"
"('107985741.jpg#3r1e', A group of people are gathered near the water., Some people are near water.)"
"('1089181217.jpg#3r1c', A dog is running down a road., A dog sits in a basement.)"
"('1089181217.jpg#3r1n', A dog is running down a road., A dog runs from the police.)"
"('1093716555.jpg#2r1c', The group of hikers is resting in front of a mountain., People relax at the beach.)"
"('1095980313.jpg#2r1e', The little girl in the blue bathing suit is posing at the beach., A girl poses at the beach.)"
"('1095980313.jpg#2r1n', The little girl in the blue bathing suit is posing at the beach., A girl poses for a photo.)"
"('109656696.jpg#1r1e', A girl in a jean dress is walking along a raised balance beam., A female is on the beam.)"
"('1096800382.jpg#3r1e', A man and a woman are talking in a restaurant., People talk in restaurants.)"
"('109982467.jpg#3r1c', Four children are standing around a blue and white barrel., Children stand on a black barrel.)"
"('109982467.jpg#3r1e', Four children are standing around a blue and white barrel., Kids hang around a barrel.)"
"('1100708949.jpg#3r1c', Two girls are hugging in front of a tree and a hill., Two brothers fight near a tree.)"
"('1100708949.jpg#3r1e', Two girls are hugging in front of a tree and a hill., Two humans hug near a tree.)"
"('1101207553.jpg#4r1e', Stevedores are waiting for a boat to dock., Some people are at a dock.)"
"('1101291373.jpg#4r4c', A man on a green bench is talking on his cellphone., A man is on his couch snoozing.)"
"('1102763701.jpg#0r4e', Young individuals in uniforms are gathering under the flags of several different countries., Young people gather under different coutnries' flags.)"
"('1102763701.jpg#3r1c', A group of people are gathered at some type of outdoor event., Two people met in a coffee shop.)"
"('1104087374.jpg#3r1n', A couple with sunglasses are laying on the beach., The couple are at the ocean.)"
"('1104087374.jpg#3r5c', A couple with sunglasses are laying on the beach., A couple is at an indoor concert.)"
"('1105137588.jpg#4r1n', The people are eating by a teal colored wall., The people are on a date.)"
"('110590591.jpg#0r3c', People are standing around an American flag that is spread out, facing the wrong direction., People stand by a Japanese flag.)"
"('110590591.jpg#0r3e', People are standing around an American flag that is spread out, facing the wrong direction., An American flag is by some people.)"
"('110595925.jpg#3r3e', The biker is riding around a curve in the road., The person is on a bike.)"
